Sender,channel,repository,url_html
squeed,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56794
timothysc,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/30
puneetguptanitj,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56899
ericchiang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/37822
heckj,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/25290
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47820
rrm,minikube,website,https://github.com/kubernetes/website/issues/5437
luiz.toledo,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/37822
sbower,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/1803
slack1539,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56304
bentheelder,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/1806
bsalamat,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53908
zcorleissen,minikube,website,https://github.com/kubernetes/website/issues/6219
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57047
guslees,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/475
k317h,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43504
rupsky,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/28454
fejta,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5507
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/45147
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/50345
cris,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53333
chrislovecnm,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/6088
akanevskiy,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/643
cblecker,minikube,community,https://github.com/kubernetes/community/issues/841
jobridgwater,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/46172
chrislovecnm,minikube,community,https://github.com/kubernetes/community/issues/1568
stealthybox,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/594
djsly,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56086
heckj,minikube,website,https://github.com/kubernetes/website/issues/5919
luxas,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/597
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55194
rupsky,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/10439
pwittrock,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47976
luxas,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/449
squeed,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56794
mkumatag,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48530
divyenpatel,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57844
spiffxp,minikube,community,https://github.com/kubernetes/community/issues/1527
shahidhk,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/15180
patricklang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52419
rowleyaj,minikube,website,https://github.com/kubernetes/website/issues/6530
maciekpytel,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54574
tpepper,minikube,website,https://github.com/kubernetes/website/issues/6037
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56357
danmace,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52428
cjwagner,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/4179
fish,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/590
daviey,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/44160
liggitt,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/483
brancz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53615
spotter,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49398
cprenzberg,minikube,heapster,https://github.com/kubernetes/heapster/issues/1908
benley,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/964
benley,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/574
fejta,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57585
mattfarina,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56416
afirth.work,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/3312
arungupta,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/51591
bobwise,minikube,community,https://github.com/kubernetes/community/issues/1321
mattjmcnaughton,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52989
misterikkit,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57362
ianlewis,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/1431
porridge,minikube,contrib,https://github.com/kubernetes/contrib/issues/2812
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/22680
resouer,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53236
deads2k,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/642
maciekpytel,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54574
archifleks,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/484
cheng.wang1986,minikube,heapster,https://github.com/kubernetes/heapster/issues/1897
arto,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57382
ronald.petty,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43788
oomichi,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5701
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/issues/889
msau42,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53407
bowei,minikube,website,https://github.com/kubernetes/website/issues/6046
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47419
3dinfluence,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57518
anupn,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/25290
goblin,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43962
jake.livewyer,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54370
b0rk,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/50916
jhorwit2,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47222
anupn,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/25290
gsaenger,minikube,community,https://github.com/kubernetes/community/issues/1413
heckj,minikube,website,https://github.com/kubernetes/website/issues/6043
slack1539,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56304
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5985
gustavoatt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56261
jobridgwater,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48926
zcorleissen,minikube,website,https://github.com/kubernetes/website/issues/6219
fish,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/15169
quinton_hoole,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/50761
cjwagner,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/6050
erhudy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47538
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56261
ieugen,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57280
vincemd,minikube,examples,https://github.com/kubernetes/examples/issues/149
fejta,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/6035
jamieh,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/364
leosunmo,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/1589
cmluciano,minikube,kubernetes-anywhere,https://github.com/kubernetes/kubernetes-anywhere/issues/471
